"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","120167.06000000","120244.50000000","119827.34000000","120034.98000000","290.33134000","72714","-0.10991365%","14-07-2025 18:00:00","75"
"BTCUSDT","119939.42000000","120447.00000000","119522.72000000","120167.07000000","552.37318000","119934","0.18980415%","14-07-2025 17:00:00","76"
"BTCUSDT","119644.93000000","120103.31000000","119610.92000000","119939.41000000","698.45342000","133084","0.24612827%","14-07-2025 16:00:00","77"
"BTCUSDT","119896.42000000","120192.73000000","119632.00000000","119644.94000000","812.38191000","127329","-0.20974771%","14-07-2025 15:00:00","78"
"BTCUSDT","120268.88000000","120526.03000000","119769.40000000","119896.42000000","1173.36404000","146498","-0.30968942%","14-07-2025 14:00:00","79"
"BTCUSDT","119878.22000000","120299.58000000","119202.00000000","120268.87000000","1443.04559000","248790","0.32587237%","14-07-2025 13:00:00","80"
"BTCUSDT","121158.88000000","121176.26000000","119611.70000000","119878.23000000","2109.20019000","303269","-1.05700053%","14-07-2025 12:00:00","81"
"BTCUSDT","121710.64000000","121990.42000000","120600.00000000","121158.89000000","1855.94127000","337267","-0.45332931%","14-07-2025 11:00:00","82"
"BTCUSDT","121918.01000000","122120.00000000","121188.00000000","121710.64000000","1151.85025000","258642","-0.17008972%","14-07-2025 10:00:00","83"
"BTCUSDT","121467.23000000","121945.63000000","121400.01000000","121918.00000000","930.72081000","166905","0.37110421%","14-07-2025 09:00:00","84"
"BTCUSDT","121905.48000000","121905.48000000","121355.55000000","121467.24000000","755.99271000","124167","-0.35949163%","14-07-2025 08:00:00","85"
"BTCUSDT","121973.74000000","122130.65000000","121628.47000000","121905.48000000","742.89705000","120615","-0.05596287%","14-07-2025 07:00:00","86"
"BTCUSDT","122578.01000000","122582.97000000","121888.44000000","121973.74000000","929.42357000","140207","-0.49296770%","14-07-2025 06:00:00","87"
"BTCUSDT","122736.04000000","122769.19000000","122300.00000000","122578.00000000","851.02194000","118699","-0.12876413%","14-07-2025 05:00:00","88"
"BTCUSDT","122130.99000000","123218.00000000","122100.00000000","122736.04000000","1786.57905200","212416","0.49541071%","14-07-2025 04:00:00","89"
"BTCUSDT","122461.99000000","122465.30000000","122017.81000000","122130.99000000","1146.85917000","146969","-0.27028795%","14-07-2025 03:00:00","90"
"BTCUSDT","121400.00000000","122666.00000000","121129.00000000","122461.99000000","2704.49868900","323683","0.87478583%","14-07-2025 02:00:00","91"
"BTCUSDT","120750.25000000","121438.27000000","120557.63000000","121400.00000000","1343.86331000","183406","0.53809412%","14-07-2025 01:00:00","92"
"BTCUSDT","119647.88000000","121492.48000000","119592.70000000","120750.24000000","3219.46885600","310039","0.92133684%","14-07-2025 00:00:00","93"
"BTCUSDT","119100.58000000","119999.00000000","118969.56000000","119647.88000000","1311.09415000","173211","0.45952757%","13-07-2025 23:00:00","94"
"BTCUSDT","119061.40000000","119238.10000000","118905.18000000","119100.58000000","349.35207000","94836","0.03290739%","13-07-2025 22:00:00","95"
"BTCUSDT","119086.65000000","119470.54000000","118916.17000000","119061.40000000","538.61781000","114183","-0.02120305%","13-07-2025 21:00:00","96"
"BTCUSDT","118520.01000000","119198.00000000","118386.55000000","119086.64000000","364.38555000","84019","0.47808805%","13-07-2025 20:00:00","97"
"BTCUSDT","118648.86000000","118774.64000000","118243.68000000","118520.01000000","584.71541000","100471","-0.10859776%","13-07-2025 19:00:00","98"
"BTCUSDT","119083.60000000","119083.60000000","118500.01000000","118648.87000000","421.07599000","99547","-0.36506286%","13-07-2025 18:00:00","99"
"BTCUSDT","118961.09000000","119367.37000000","118826.00000000","119083.60000000","290.26988000","78696","0.10298325%","13-07-2025 17:00:00","100"
"BTCUSDT","118992.73000000","119488.00000000","118897.44000000","118961.08000000","601.53222000","106114","-0.02659826%","13-07-2025 16:00:00","101"
"BTCUSDT","118699.60000000","119070.24000000","118592.01000000","118992.73000000","315.39573000","73288","0.24695113%","13-07-2025 15:00:00","102"
"BTCUSDT","118528.00000000","118844.83000000","118382.56000000","118699.60000000","348.79838000","62165","0.14477592%","13-07-2025 14:00:00","103"
"BTCUSDT","118672.23000000","118982.89000000","118520.00000000","118528.01000000","483.67524000","87099","-0.12152801%","13-07-2025 13:00:00","104"
"BTCUSDT","118766.94000000","119124.00000000","118532.84000000","118672.24000000","566.53213000","107111","-0.07973599%","13-07-2025 12:00:00","105"
"BTCUSDT","118610.00000000","119376.00000000","118353.20000000","118766.94000000","1897.93905700","250165","0.13231599%","13-07-2025 11:00:00","106"
"BTCUSDT","118432.11000000","118750.00000000","118154.81000000","118610.01000000","736.92273000","117925","0.15021264%","13-07-2025 10:00:00","107"
"BTCUSDT","118072.01000000","118636.92000000","117989.53000000","118432.11000000","689.71040000","84712","0.30498337%","13-07-2025 09:00:00","108"
"BTCUSDT","117748.00000000","118086.66000000","117747.99000000","118072.01000000","269.48693000","39410","0.27517240%","13-07-2025 08:00:00","109"
"BTCUSDT","117739.16000000","117845.48000000","117739.16000000","117747.99000000","98.78511000","22449","0.00749963%","13-07-2025 07:00:00","110"
"BTCUSDT","117895.78000000","117901.34000000","117689.63000000","117739.16000000","151.43307000","28693","-0.13284615%","13-07-2025 06:00:00","111"
"BTCUSDT","117998.99000000","118006.96000000","117756.39000000","117895.78000000","165.74382000","27035","-0.08746685%","13-07-2025 05:00:00","112"
"BTCUSDT","117888.51000000","118054.79000000","117852.00000000","117999.00000000","308.18406000","34305","0.09372415%","13-07-2025 04:00:00","113"
"BTCUSDT","117759.99000000","117978.97000000","117742.31000000","117888.51000000","186.73560000","25537","0.10913724%","13-07-2025 03:00:00","114"
